File,AudioID,Emotion,Intensity,Gender
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Disgust,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Sad,Normal,Male
audio3.wav,3,Happy,Strong,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Disgust,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Fearful,Normal,Female
audio4.wav,4,Surprised,Strong,Female
audio5.wav,5,Sad,Strong,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Sad,Normal,Male
audio3.wav,3,Disgust,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Sad,Strong,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Sad,Normal,Male
audio3.wav,3,Calm,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Strong,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Disgust,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Fearful,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Calm,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Surprised,Normal,Female
audio4.wav,4,Sad,Normal,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Disgust,Strong,Female
audio4.wav,4,Surprised,Strong,Female
audio5.wav,5,Calm,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Surprised,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Strong,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Disgust,Strong,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Normal,Female
audio1.wav,1,Disgust,Strong,Male
audio2.wav,2,Calm,Strong,Male
audio3.wav,3,Disgust,Strong,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Calm,Normal,Female
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Normal,Female
audio1.wav,1,Angry,Strong,Male
audio2.wav,2,Calm,Normal,Male
audio3.wav,3,Calm,Normal,Male
audio4.wav,4,Happy,Strong,Female
audio5.wav,5,Sad,Normal,Female
